,가계지출_소비지출_식료품비주류음료구입비,가계지출_소비지출_주류담배구입비,가계지출_소비지출_의류신발구입비,가계지출_소비지출_주거수도광열비,가계지출_소비지출_가정용품가사서비스이용금액,가계지출_소비지출_보건제품구입비,가계지출_소비지출_교통비,가계지출_소비지출_통신비,가계지출_소비지출_오락문화비,가계지출_소비지출_교육비,가계지출_소비지출_음식숙박비,가계지출_소비지출_기타상품서비스이용금액
131,221322,120383,103917,688398,1833,417,104000,69101,3500,0,158267,59650
132,204571,0,35067,108098,3182,45533,58825,47732,354860,0,130967,2661
133,70365,10450,932145,453798,21450,24685,156596,52948,78175,0,522200,149495
134,3500,0,225939,1714293,0,0,167110,0,11700,0,417400,37106
135,249196,5372,8729,230318,120613,9797,19787,44180,200705,0,42033,33125
136,97833,5000,207533,221387,13440,66567,99553,30307,99735,0,233046,238602
137,19575,3450,0,635745,0,62050,170205,68346,121146,250000,452200,131252
138,124430,10135,120484,507071,23998,29667,53895,62693,40956,0,127243,13858
139,91825,0,102533,256747,9082,9933,101466,0,290900,0,362098,59055
140,96227,18402,166887,487242,89440,92267,389513,11667,55567,233333,711849,181891
141,95794,4380,178820,421226,7960,18360,120014,66596,79108,0,653880,53830
142,63990,8256,29800,387709,33464,410160,726738,114010,213404,0,345178,61040
143,83173,41625,93550,488270,9153,40260,247350,98595,73498,0,445200,38175
144,106440,7413,8500,300670,4063,10575,50195,44653,58250,0,550198,119925
145,80235,220225,273259,442113,14032,32283,139213,85119,21115,0,516683,106202
146,121576,32594,456716,406198,27616,52538,207216,13200,42560,110000,693740,287212
147,88792,10467,40448,478422,13652,38083,115447,78200,289602,0,336534,31158
148,144182,1437,58051,452689,17348,49395,63850,13200,102333,15833,221238,121087
149,131812,0,126350,397528,5082,15383,38793,71483,17525,0,244395,57222
150,79620,0,332515,380635,11300,7950,95300,59450,126389,0,546172,113370
151,82666,1020,121670,440508,6896,31100,37190,92299,33011,0,583620,76470
152,32417,1200,69583,89762,2813,18750,230800,50771,53667,0,257117,14017
153,207560,30000,315480,35140,50500,10100,384900,103250,83690,0,657220,31860
154,115210,0,162049,542400,57190,0,75570,28490,113658,0,231880,241020
155,64000,35000,249300,472050,0,32000,34100,91680,105500,0,187700,889
156,224000,21000,82800,458440,59300,4500,150450,0,16025,1220000,268300,57300
157,77750,0,20000,340570,0,0,148200,81100,254010,0,344850,67000
158,147017,11318,14582,189435,11858,16067,59527,623,70602,0,101838,23130
159,114205,0,6417,176647,8072,1932,37217,46428,11825,0,160367,24080
160,109715,15125,231232,119320,74963,108828,519615,51538,79973,0,884191,99674
161,81613,0,127780,197020,65450,65278,157463,108788,38638,0,533125,170042
162,53955,11375,112870,26163,13363,19650,135288,47907,74897,0,335760,9900
163,53733,41167,19333,115800,150,0,66267,13750,57473,0,339000,167562
164,108670,1148,124483,37172,20393,16008,173500,54455,110586,70833,366795,252646
165,105850,45810,69025,171880,12160,181520,277490,84620,219870,0,538558,123813
166,84133,4650,179983,26568,16433,35522,153183,57660,203493,0,222883,99400
167,50791,600,77952,394726,57940,14474,210082,91519,75013,0,517816,131578
168,227760,0,0,186800,44900,37500,752000,11200,511300,0,301800,21800
169,189967,20383,173514,710850,1667,109140,115535,39732,106886,253417,369008,128786
170,147587,8533,90500,147108,80235,17850,115595,68623,88640,0,424203,50433
171,42465,16557,28342,342977,8175,41515,47542,24750,46805,21000,391538,54743
172,79212,81825,76500,356260,5373,48383,105867,55187,285383,0,811717,12147
173,23170,17250,14770,354412,3270,4233,69792,0,25800,6667,298467,12975
