,취업인원수,성별,연령,가중값,학력,수학구분,총소비지출액,의류신발,음식,생활필수,여가,IT 및 교육,건강 및 미용
1700,1,2,24,2936.9364,7,2,1611747,0.05322361387984591,0.38064100631178466,0.36058078594221055,0.05951492386832425,0.015511119300982102,0.1305279302520805
1744,1,1,25,2888.8155,5,4,1745947,0.053623048122308406,0.470884855038555,0.3282012569682814,0.10589840355978733,0.0,0.04139186355599569
1745,1,2,29,1342.8338,5,1,2086175,0.08084221122389061,0.34766498496051385,0.3746186202020444,0.02707682720768871,0.0,0.1697973564058624
1814,0,1,23,2812.8934,6,2,1393989,0.024947112208202504,0.2899047266513581,0.1938523187772644,0.03871623090282635,0.4221912798451064,0.030388331615242303
1818,0,1,21,1760.169,4,1,1684256,0.027746969581821292,0.1958419622670188,0.46450361465240436,0.017164849049075673,0.09632739916022268,0.19841579902342638
1819,1,2,23,1052.7244,4,1,1771716,0.066065893179268,0.19680637303044055,0.44690571175064175,0.12334990483802144,0.09425889928182621,0.07261321791980205
1826,0,2,23,3546.8983,6,2,1456476,0.0695404524345063,0.30941670168269164,0.376357042615189,0.1166740818248979,0.04629873750065226,0.08171229735333778
1827,1,2,27,2819.3369,6,1,1121975,0.04681298602910047,0.19489560819091334,0.5341883731812206,0.02797032019430023,0.13369281846743467,0.062439893937030685
1828,1,1,28,2517.0508,6,1,1388276,0.06973829411442681,0.3638059002676701,0.2665665905050581,0.044848430715506135,0.12900388683518263,0.12603689756215622
1829,1,2,26,551.2607,6,1,711574,0.0,0.44672795801982645,0.5098331304966174,0.027980224122860026,0.0028106704292174814,0.012648016931478665
1830,1,2,26,2517.0508,6,1,1848710,0.04623115577889447,0.24965895137690605,0.29072109741387236,0.14862579852978564,0.07609360040244278,0.1886704783335407
1831,1,2,28,3092.3877,6,1,1541646,0.12277786210323252,0.23947131831821314,0.31526303703963166,0.06289511340476348,0.04085243953540566,0.21874022959875353
1832,1,2,28,1984.275,6,1,2417352,0.0803552813160847,0.1827991951523816,0.4593174680394084,0.21186074680063144,0.0,0.06566813604307523
1861,1,2,26,1142.3355,6,1,1090979,0.06187103509783415,0.2339641734625506,0.2764462010726146,0.025252548399190087,0.0,0.40246604196781055
1863,1,1,29,2936.9364,6,1,1225797,0.03964930571701513,0.340801127756064,0.32316280754480553,0.05203063802570899,0.0013599315384194937,0.24299700521375073
1996,1,1,28,2715.3827,6,1,792313,0.135678702734904,0.4894959441533838,0.2848545966051295,0.041183219258045745,0.011569922492752233,0.037217614755784646
